Time,Name,email,facebook,junior,gender,bedtime,wake_time,sleep_env,visitors,neatness,floor_cov,sharing,bio,room_time,room_activity
13:54,Gavin,Gavin@gmail.com,Gavin,1,male,24:12,3,2,2,2,97,1,,,
13:6,Stacey,Stacey@gmail.com,Stacey,0,male,6:26,3,3,1,3,1,2,,,
13:32,Julian,Julian@gmail.com,Julian,0,male,19:17,2,4,2,3,68,2,,,
17:43,Brain,Brain@gmail.com,Brain,1,male,2:42,2,2,3,2,28,1,,,
1:44,Colton,Colton@gmail.com,Colton,0,male,2:11,1,1,2,3,92,2,,,
2:9,Cristobal,Cristobal@gmail.com,Cristobal,0,male,15:37,1,3,2,3,59,1,,,
12:18,Jamal,Jamal@gmail.com,Jamal,0,male,9:46,3,4,2,2,70,2,,,
3:25,Matthew,Matthew@gmail.com,Matthew,1,male,14:12,2,1,2,3,33,2,,,
12:5,Willie,Willie@gmail.com,Willie,1,male,8:25,3,1,1,1,22,1,,,
15:25,Raymond,Raymond@gmail.com,Raymond,0,male,13:53,3,3,1,2,25,2,,,
19:1,Darin,Darin@gmail.com,Darin,0,male,15:8,1,4,2,3,65,1,,,
10:44,Isaiah,Isaiah@gmail.com,Isaiah,1,male,2:52,1,1,3,1,58,1,,,
12:10,Alvaro,Alvaro@gmail.com,Alvaro,1,male,6:11,2,3,3,3,61,1,,,
22:42,Desmond,Desmond@gmail.com,Desmond,1,male,17:4,2,3,2,3,11,2,,,
10:27,Rudy,Rudy@gmail.com,Rudy,0,male,15:42,2,4,1,1,95,2,,,
3:17,Galen,Galen@gmail.com,Galen,0,male,19:30,1,4,3,2,65,2,,,
15:59,Columbus,Columbus@gmail.com,Columbus,0,male,7:47,3,2,2,3,11,1,,,
24:42,Rupert,Rupert@gmail.com,Rupert,0,male,16:20,3,3,2,3,50,2,,,
18:27,Agustin,Agustin@gmail.com,Agustin,1,male,6:37,3,3,1,2,78,2,,,
18:22,Kyle,Kyle@gmail.com,Kyle,1,male,1:8,3,1,2,2,30,2,,,
15:5,Cyril,Cyril@gmail.com,Cyril,1,male,2:9,2,4,2,2,8,2,,,
22:54,Waldo,Waldo@gmail.com,Waldo,1,male,1:1,2,1,1,1,88,1,,,
4:2,Rayford,Rayford@gmail.com,Rayford,0,male,13:39,3,1,1,3,14,2,,,
18:44,Sylvester,Sylvester@gmail.com,Sylvester,0,male,9:53,3,3,1,1,49,1,,,
14:13,Brent,Brent@gmail.com,Brent,1,male,24:53,2,1,3,1,21,1,,,
24:0,Darron,Darron@gmail.com,Darron,0,male,6:36,2,3,2,3,3,2,,,
4:47,Marc,Marc@gmail.com,Marc,1,male,10:16,3,3,2,2,6,2,,,
2:26,Isaias,Isaias@gmail.com,Isaias,0,male,13:12,2,1,1,3,70,2,,,
7:12,Linwood,Linwood@gmail.com,Linwood,1,male,21:27,3,3,2,3,100,2,,,
6:50,Cristopher,Cristopher@gmail.com,Cristopher,0,male,2:4,2,4,1,1,55,1,,,
19:17,Prince,Prince@gmail.com,Prince,0,male,8:1,3,3,3,2,13,2,,,
24:25,Reinaldo,Reinaldo@gmail.com,Reinaldo,0,male,2:11,2,1,3,1,54,2,,,
2:27,Tanner,Tanner@gmail.com,Tanner,0,male,1:36,2,3,3,1,32,2,,,
9:29,Seth,Seth@gmail.com,Seth,1,male,3:18,3,1,3,3,49,2,,,
4:52,Nicolas,Nicolas@gmail.com,Nicolas,1,male,18:5,3,2,2,3,27,2,,,
17:13,Allan,Allan@gmail.com,Allan,1,male,2:14,3,2,1,3,51,1,,,
1:48,Todd,Todd@gmail.com,Todd,1,male,12:9,3,4,1,1,37,2,,,
9:21,Solomon,Solomon@gmail.com,Solomon,1,male,12:59,1,3,1,2,33,2,,,
15:46,Carson,Carson@gmail.com,Carson,0,male,4:6,2,1,2,2,71,1,,,
21:4,Roy,Roy@gmail.com,Roy,0,male,22:2,1,4,3,3,11,2,,,
23:40,Jae,Jae@gmail.com,Jae,1,male,12:52,3,3,3,1,75,2,,,
7:13,Will,Will@gmail.com,Will,0,male,3:31,2,3,3,1,18,1,,,
4:37,Houston,Houston@gmail.com,Houston,1,male,24:18,1,3,1,3,25,1,,,
15:1,Reynaldo,Reynaldo@gmail.com,Reynaldo,0,male,12:35,2,1,2,3,18,1,,,
5:45,Jewell,Jewell@gmail.com,Jewell,0,male,6:44,2,2,1,3,86,1,,,
4:31,Clement,Clement@gmail.com,Clement,0,male,21:25,1,3,1,3,21,2,,,
17:44,Wes,Wes@gmail.com,Wes,1,male,6:47,3,1,1,1,84,1,,,
8:14,Wilber,Wilber@gmail.com,Wilber,1,male,20:42,1,1,3,3,39,2,,,
7:46,Arthur,Arthur@gmail.com,Arthur,1,male,22:25,3,3,3,2,56,1,,,
